city,Cloudiness,country,Date,Humidity,lat,lon,Max Temp,Wind Speed
thompson,90.0,ca,2018-03-02 06:00:00,78.0,61.90,-88.90,17.6,8.05
mahebourg,75.0,mu,2018-03-02 06:00:00,79.0,-25.68,61.83,84.2,16.11
dalby,40.0,au,2018-03-02 06:00:00,55.0,-27.41,151.37,86,11.41
rikitea,92.0,pf,2018-03-02 06:36:38,100.0,-57.94,-122.36,80.89,18.86
chapais,90.0,ca,2018-03-02 06:00:00,79.0,54.22,-72.45,24.8,6.93
nuuk,48.0,gl,2018-03-02 05:50:00,80.0,64.43,-51.05,33.8,3.36
tuatapere,48.0,nz,2018-03-02 06:41:32,88.0,-56.43,160.03,66.49,4.76
kapuskasing,75.0,ca,2018-03-02 06:00:00,91.0,50.35,-81.78,3.2,5.82
ilulissat,12.0,gl,2018-03-02 05:50:00,92.0,86.76,-42.53,26.6,3.36
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-70.48,-52.25,48.2,25.28
mataura,68.0,pf,2018-03-02 06:37:59,75.0,-63.46,-147.13,71.03,9.46
margate,40.0,za,2018-03-02 06:30:00,56.0,-43.87,43.73,69.8,8.05
hilo,90.0,us,2018-03-02 06:02:00,88.0,2.18,-159.76,69.8,8.05
busselton,0.0,au,2018-03-02 06:36:37,93.0,-89.26,83.19,71.3,16.62
punta arenas,75.0,cl,2018-03-02 06:00:00,71.0,-55.75,-98.79,53.6,17.22
rio grande,20.0,br,2018-03-02 06:44:01,98.0,-39.93,-43.25,70.94,2.75
kalmunai,68.0,lk,2018-03-02 06:44:01,89.0,5.82,84.42,82.19,7.34
dingle,0.0,ie,2018-03-02 06:40:20,52.0,47.42,-18.15,89.71,12.71
jamestown,44.0,sh,2018-03-02 06:39:09,66.0,-17.25,-10.76,77.02,1.74
port alfred,92.0,za,2018-03-02 06:39:16,100.0,-83.46,55.27,65.86,3.98
sabang,76.0,id,2018-03-02 06:44:02,90.0,7.60,93.13,81.38,7.23
borogontsy,56.0,ru,2018-03-02 06:44:02,57.0,65.23,131.07,-12.04,3.76
tuatapere,48.0,nz,2018-03-02 06:41:32,88.0,-58.57,157.28,66.49,4.76
mongo,92.0,td,2018-03-02 06:44:03,100.0,11.88,18.88,68.78,3.2
